ProductName,PrimaryCategory,SubCategory,Label,Combination,Price,Rank,ChemicalName,ChemicalCount,Dry,Normal,Oily,Sensitive,TotalChemicalScore
LISSE MINUTE ENLUMINEUR COMPACT TOUTES TEINTES,Makeup Products (non-permanent),Foundations and Bases,Treatment,1,76.33333333333333,4.133333333333333,12,-0.31902113712309016,0,0,0,0,12
LOCK-IT BRIGHTENING POWDER,Makeup Products (non-permanent),Face Powders,Moisturizer,0,26.0,4.1,1,-0.31902113712309016,0,0,0,0,1
LOCK-IT CONCEALER CREME,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,26.0,4.1,19,-0.31902113712309016,0,0,0,0,19
LOCK-IT FOUNDATION,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,26.0,4.1,14,-0.31902113712309016,0,0,0,0,14
LOCK-IT PRESSED POWDER FOUNDATION,Makeup Products (non-permanent),Face Powders,Moisturizer,0,26.0,4.1,14,-0.31902113712309016,0,0,0,0,14
LOCK-IT PRESSED POWDER FOUNDATION,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,26.0,4.1,14,-0.31902113712309016,0,0,0,0,14
LOCK-IT TATTOO CONCEALER,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,26.0,4.1,9,-0.31902113712309016,0,0,0,0,9
LOCK-IT TATTOO FOUNDATION,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,26.0,4.1,16,-0.31902113712309016,0,0,0,0,16
L�ESSENTIEL - NATURAL GLOW FOUNDATION - 16H WEAR - WITH SUNSCREEN BROAD SPECTRUM SPF 20,Makeup Products (non-permanent),Foundations and Bases,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
L�ESSENTIEL - NATURAL GLOW FOUNDATION - 16H WEAR - WITH SUNSCREEN BROAD SPECTRUM SPF 20,Makeup Products (non-permanent),Foundations and Bases,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
L�ESSENTIEL - NATURAL GLOW FOUNDATION - 16H WEAR - WITH SUNSCREEN BROAD SPECTRUM SPF 20,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
L�ESSENTIEL - NATURAL GLOW FOUNDATION - 16H WEAR - WITH SUNSCREEN BROAD SPECTRUM SPF 20,Makeup Products (non-permanent),Foundations and Bases,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - BROW FRAMER - NATURAL VOLUME FIBER BROW GEL (ALL SHADES),Makeup Products (non-permanent),Other Makeup Product,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - BROW FRAMER - NATURAL VOLUME FIBER BROW GEL (ALL SHADES),Makeup Products (non-permanent),Other Makeup Product,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - BROW FRAMER - NATURAL VOLUME FIBER BROW GEL (ALL SHADES),Makeup Products (non-permanent),Other Makeup Product,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
MAD EYES - BROW FRAMER - NATURAL VOLUME FIBER BROW GEL (ALL SHADES),Makeup Products (non-permanent),Other Makeup Product,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - CONTRAST SHADOW DUO - CREAM SHADOW STICK (ALL SHADES),Makeup Products (non-permanent),Eye Shadow,Eye cream,0,230.0,5.0,2,2.9917203929605862,0,0,0,0,2
MAD EYES - CONTRAST SHADOW DUO - CREAM SHADOW STICK (ALL SHADES),Makeup Products (non-permanent),Eye Shadow,Eye cream,1,200.0,3.0,2,2.9917203929605862,0,0,0,0,2
MAD EYES - CONTRAST SHADOW DUO - CREAM SHADOW STICK (ALL SHADES),Makeup Products (non-permanent),Eye Shadow,Moisturizer,1,44.333333333333336,4.2,6,2.9917203929605862,0,0,0,0,6
MAD EYES - CONTRAST SHADOW DUO - CREAM SHADOW STICK (ALL SHADES),Makeup Products (non-permanent),Eye Shadow,Treatment,0,150.0,3.6,2,2.9917203929605862,0,0,0,0,2
MAD EYES - INTENSE LINER - INTENSE LIQUID EYELINER,Makeup Products (non-permanent),Eyeliner/Eyebrow Pencils,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - INTENSE LINER - INTENSE LIQUID EYELINER,Makeup Products (non-permanent),Eyeliner/Eyebrow Pencils,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - INTENSE LINER - INTENSE LIQUID EYELINER,Makeup Products (non-permanent),Eyeliner/Eyebrow Pencils,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
MAD EYES - INTENSE LINER - INTENSE LIQUID EYELINER,Makeup Products (non-permanent),Eyeliner/Eyebrow Pencils,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - MASCARA - MASCARA BUILDABLE VOLUME LASH BY LASH_CURL (ALL SHADES),Makeup Products (non-permanent),Mascara/Eyelash Products,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - MASCARA - MASCARA BUILDABLE VOLUME LASH BY LASH_CURL (ALL SHADES),Makeup Products (non-permanent),Mascara/Eyelash Products,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - MASCARA - MASCARA BUILDABLE VOLUME LASH BY LASH_CURL (ALL SHADES),Makeup Products (non-permanent),Mascara/Eyelash Products,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
MAD EYES - MASCARA - MASCARA BUILDABLE VOLUME LASH BY LASH_CURL (ALL SHADES),Makeup Products (non-permanent),Mascara/Eyelash Products,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - PRECISE LINER- FELT-TIP PRECISION EYELINER,Makeup Products (non-permanent),Eyeliner/Eyebrow Pencils,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - PRECISE LINER- FELT-TIP PRECISION EYELINER,Makeup Products (non-permanent),Eyeliner/Eyebrow Pencils,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
MAD EYES - PRECISE LINER- FELT-TIP PRECISION EYELINER,Makeup Products (non-permanent),Eyeliner/Eyebrow Pencils,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
MAD EYES - PRECISE LINER- FELT-TIP PRECISION EYELINER,Makeup Products (non-permanent),Eyeliner/Eyebrow Pencils,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
MASCARA ALLONGEANT/LENGTHENING MASCARA 23203,Makeup Products (non-permanent),Mascara/Eyelash Products,Cleanser,0,25.0,4.4,1,-0.31902113712309016,0,0,0,0,1
MASCARA ALLONGEANT/LENGTHENING MASCARA 23203,Makeup Products (non-permanent),Mascara/Eyelash Products,Moisturizer,0,30.0,4.2,1,-0.31902113712309016,0,0,0,0,1
MAT VELVET + FOND DE TEINT MATIFIANT/MATIFYING FOUNDATION (ALL SHADES),Makeup Products (non-permanent),Foundations and Bases,Cleanser,0,25.0,4.4,1,-0.31902113712309016,0,0,0,0,1
MAT VELVET + FOND DE TEINT MATIFIANT/MATIFYING FOUNDATION (ALL SHADES),Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,30.0,4.2,1,-0.31902113712309016,0,0,0,0,1
MAT VELVET+ MATIFYING FOUNDATION,Makeup Products (non-permanent),Foundations and Bases,Cleanser,0,25.0,4.4,19,-0.31902113712309016,0,0,0,0,19
MAT VELVET+ MATIFYING FOUNDATION,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,30.0,4.2,19,-0.31902113712309016,0,0,0,0,19
MATTE FOR LIPS,Makeup Products (non-permanent),Lip Balm (making a cosmetic claim),Cleanser,0,33.5,4.5,2,-0.31902113712309016,0,0,0,0,2
MATTE FOR LIPS,Makeup Products (non-permanent),Lip Balm (making a cosmetic claim),Cleanser,1,39.0,4.4,1,-0.31902113712309016,0,0,0,0,1
MATTE FOR LIPS,Makeup Products (non-permanent),Lip Balm (making a cosmetic claim),Face Mask,0,43.0,4.3,1,-0.31902113712309016,0,0,0,0,1
MATTE FOR LIPS,Makeup Products (non-permanent),Lip Balm (making a cosmetic claim),Moisturizer,1,41.5,4.25,2,-0.31902113712309016,0,0,0,0,2
MATTE FOR LIPS,Makeup Products (non-permanent),Lip Balm (making a cosmetic claim),Sun protect,1,44.0,4.5,1,-0.31902113712309016,0,0,0,0,1
MATTE PIGMENT HIGH IMPACT COLOR POWDER,Makeup Products (non-permanent),Other Makeup Product,Cleanser,0,25.0,4.4,4,2.9917203929605862,0,0,0,0,4
MATTE PIGMENT HIGH IMPACT COLOR POWDER,Makeup Products (non-permanent),Other Makeup Product,Moisturizer,0,30.0,4.2,4,2.9917203929605862,0,0,0,0,4
MATTE VELVET SKIN BLURRING POWDER FOUNDATION,Makeup Products (non-permanent),Foundations and Bases,Cleanser,0,25.0,4.4,30,-0.31902113712309016,0,0,0,0,30
MATTE VELVET SKIN BLURRING POWDER FOUNDATION,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,30.0,4.2,30,-0.31902113712309016,0,0,0,0,30
MATTE VELVET SKIN FULL COVERAGE FOUNDATION,Makeup Products (non-permanent),Foundations and Bases,Cleanser,0,25.0,4.4,33,-0.31902113712309016,0,0,0,0,33
MATTE VELVET SKIN FULL COVERAGE FOUNDATION,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,30.0,4.2,33,-0.31902113712309016,0,0,0,0,33
MAXI VELVET - CERME DE ROUGE MATTE COLOUR - EXCEPTIONAL HOLD,Makeup Products (non-permanent),Lip Gloss/Shine,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
MAXI VELVET - CERME DE ROUGE MATTE COLOUR - EXCEPTIONAL HOLD,Makeup Products (non-permanent),Lip Gloss/Shine,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
MAXI VELVET - CERME DE ROUGE MATTE COLOUR - EXCEPTIONAL HOLD,Makeup Products (non-permanent),Lip Gloss/Shine,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
MAXI VELVET - CERME DE ROUGE MATTE COLOUR - EXCEPTIONAL HOLD,Makeup Products (non-permanent),Lip Gloss/Shine,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METAL CRUSH EYESHADOW,Makeup Products (non-permanent),Eye Shadow,Moisturizer,0,26.0,4.1,7,-0.31902113712309016,0,0,0,0,7
METAL MATTE EYESHADOW PALETTE,Makeup Products (non-permanent),Eye Shadow,Moisturizer,0,26.0,4.1,1,-0.31902113712309016,0,0,0,0,1
METEORITES - BABY GLOW TOUCH - CC LUMINIZER - EASY STROBING,Makeup Products (non-permanent),Foundations and Bases,Eye cream,0,230.0,5.0,2,2.9917203929605862,0,0,0,0,2
METEORITES - BABY GLOW TOUCH - CC LUMINIZER - EASY STROBING,Makeup Products (non-permanent),Foundations and Bases,Eye cream,1,200.0,3.0,2,2.9917203929605862,0,0,0,0,2
METEORITES - BABY GLOW TOUCH - CC LUMINIZER - EASY STROBING,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,1,44.333333333333336,4.2,6,2.9917203929605862,0,0,0,0,6
METEORITES - BABY GLOW TOUCH - CC LUMINIZER - EASY STROBING,Makeup Products (non-permanent),Foundations and Bases,Treatment,0,150.0,3.6,2,2.9917203929605862,0,0,0,0,2
METEORITES - BIRTHDAY CANDLE PEARLS - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - BIRTHDAY CANDLE PEARLS - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - BIRTHDAY CANDLE PEARLS - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - BIRTHDAY CANDLE PEARLS - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METEORITES - BUBBLE BLUSH - GEL BLUSH - COOLING EFFECT,Makeup Products (non-permanent),Blushes ,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
